lon_0,lat_0,country,state/territory,city,zip,phone,IP,PID/name
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.233,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.53,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.73.129,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.185,2230/gvfsd-http
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.89.31,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.233,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.235,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.233,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.110,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.29,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,204.246.169.147,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.245,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.96,2230/gvfsd-http
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.89.31,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.233,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.185,2230/gvfsd-http
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.94.25,6821/ubuntu-geoip-p
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.96,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.233,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.178,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.69,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.74.129,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.96,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.74.192,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.74.129,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.185,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.73.192,2230/gvfsd-http
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.89.31,2230/gvfsd-http
-97.000000,38.000000,US,N/A,N/A,N/A,0,157.55.130.147,19930/skype
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.89.31,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.73.129,2230/gvfsd-http
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.89.31,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.145,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.185,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.185,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.73.129,2230/gvfsd-http
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.89.31,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.73.129,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.74.192,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.233,2230/gvfsd-http
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.126,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.101,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.185,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.73.129,2230/gvfsd-http
-97.000000,38.000000,US,N/A,N/A,N/A,0,134.170.18.106,19930/skype
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.53,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.73.129,2230/gvfsd-http
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.73.129,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.233,2230/gvfsd-http
-122.057404,37.419201,US,CA,MountainView,94043,807,74.125.142.125,21126/chrome
-122.394203,37.789799,US,CA,SanFrancisco,94105,807,199.27.74.129,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.185,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,204.246.169.225,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.185,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,204.246.169.12,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.233,2230/gvfsd-http
-122.328400,47.602600,US,WA,Seattle,98104,819,205.251.253.105,2230/gvfsd-http
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.89.31,2230/gvfsd-http
6.166700,49.750000,LU,N/A,N/A,N/A,0,91.190.216.52,19930/skype
-122.342201,47.634399,US,WA,Seattle,98109,819,54.240.190.47,2230/gvfsd-http
-0.093100,51.514198,GB,H9,London,N/A,0,91.189.89.31,2230/gvfsd-http
